link,title,location,company_name,description,post_time 
https://wuzzuf.net//jobs/p/2O2Sm5avkfAA-Senior-ETL-Developer-Gap-Polymers-Cairo-Egypt?o=107&l=sp&t=sj&a=data science|search-v3|hpb,Senior ETL Developer,"Maadi, Cairo, Egypt ",Gap Polymers  -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · Computer Science · SQL · SQL Server · SSIS · ETL · Power BI · Data Warehousing,2 months ago
https://wuzzuf.net//jobs/p/Q2sdpR9GvVJC-Database-Administrator-Perfect-Presentation-Giza-Egypt?o=108&l=sp&t=sj&a=data science|search-v3|hpb,Database Administrator,"6th of October, Giza, Egypt ",Perfect Presentation -,Full Time Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Database · Database Administrator · DBA · Computer Science · Data Backup · Database Design · Information Technology (IT),2 months ago
https://wuzzuf.net//jobs/p/DgaOYxVHPUE7-Python-and-Javascript-Machine-Learning-Engineer-NLP---Natural-Language-Processing-GetTechForce-com-Cairo-Egypt?o=109&l=sp&t=sj&a=data science|search-v3|hpb,Python and Javascript Machine Learning Engineer (NLP - Natural Language Processing),"Cairo, Egypt ",GetTechForce.com -,Full Time Work From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flask · Python · Software Development · Computer Science · Information Technology (IT) · Frameworks · Kubernetes,8 days ago
https://wuzzuf.net//jobs/p/Oi9WiJuo1qdv-Software-Tester-SATA-Group-Cairo-Egypt?o=110&l=sp&t=sj&a=data science|search-v3|hpb,Software Tester,"Nasr City, Cairo, Egypt ",SATA Group -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Performance Testing · Quality Control · Information Technology (IT) · Computer Science · application · Testing,9 days ago
https://wuzzuf.net//jobs/p/VveZJKqwQRwo-Junior-Application-Consultant--ERP-Rednet-It-Services-Cairo-Egypt?o=111&l=sp&t=sj&a=data science|search-v3|hpb,Junior Application Consultant- ERP,"Cairo, Egypt ",Rednet It Services -,Full Time Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · Project Management · Technical Support · Problem Solving,2 days ago
https://wuzzuf.net//jobs/p/XQ3tABQUrpDZ-Senior-ERP-Application-Consultant-Rednet-It-Services-Cairo-Egypt?o=112&l=sp&t=sj&a=data science|search-v3|hpb,Senior ERP Application Consultant,"Cairo, Egypt ",Rednet It Services -,Full Time Experienced · 3+ Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · C#.Net · Software Development · Software Engineering,2 days ago
https://wuzzuf.net//jobs/p/ZUzeOCrS00MO-Junior-PHP-Developer-Alexandria-Egypt?o=113&l=sp&t=sj&a=data science|search-v3|hpb,Junior PHP Developer,"Sidi Bishr, Alexandria, Egypt ",Confidential -,Full Time Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Computer Science · Docker · Laravel Framework · Laravel · Nginx · Elasticsearch · Logstash,10 hours ago
https://wuzzuf.net//jobs/p/gdeFsdxU1ZBB-Quality-Control-Engineer-Multinational-Logistics-company-Pillars-Cairo-Egypt?o=114&l=sp&t=sj&a=data science|search-v3|hpb,Quality Control Engineer ( Multinational Logistics company),"Cairo, Egypt ",Pillars -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Logistics/Supply Chain · Quality · QA engineering · Cucumber BDD · Cucumber BDD Tool · Selenium IDE · Quality Control · Science · ISTQB,4 days ago
https://wuzzuf.net//jobs/p/DuodQn1LS8aj-SAP-SD-Consultant-Arabiat-Giza-Egypt?o=115&l=sp&t=sj&a=data science|search-v3|hpb,SAP SD Consultant,"Mohandessin, Giza, Egypt ",Arabiat -,Full Time Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · SAP · SAP MM · SAP SD · SD · Integration,1 day ago
https://wuzzuf.net//jobs/p/uWqIccDm0qQx-IT-Head-Cairo-Egypt?o=116&l=sp&t=sj&a=data science|search-v3|hpb,IT Head,"Maadi, Cairo, Egypt ",Confidential -,Full Time Manager · 5 - 7 Yrs of Exp · IT/Software Development · computer · Information Technology (IT) · Engineering · Computer Science · Software,1 day ago
https://wuzzuf.net//jobs/p/Uz9l3yxG2nFh-IT-Manager-Cairo-Egypt?o=117&l=sp&t=sj&a=data science|search-v3|hpb,IT Manager,"New Cairo, Cairo, Egypt ",Confidential -,Full Time Manager · 6 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · IT Service Management · Computer Engineering · Information Technology (IT) · Project Management · Networking · technical · Troubleshooting,2 days ago
https://wuzzuf.net//jobs/p/6wfFyQQSuMvG-Senior-IT-Specialist-Deutschland-Technology-Limited-Cairo-Egypt?o=118&l=sp&t=sj&a=data science|search-v3|hpb,Senior IT Specialist,"Obour City, Cairo, Egypt ",Deutschland Technology Limited -,Full Time Experienced · 6+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · computer · Computer Engineering · Computer Science · Information technology · IT · MCSE · Security · Technology,16 days ago
https://wuzzuf.net//jobs/p/yiKD8KEAPMb0-Business-Analyst-Multinational-Logistics-company-Pillars-Cairo-Egypt?o=119&l=sp&t=sj&a=data science|search-v3|hpb,Business Analyst ( Multinational Logistics company),"Cairo, Egypt ",Pillars -,Full Time Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · Business Analysis · Engineering · Information Technology (IT) · Computer Science · Management,5 days ago
https://wuzzuf.net//jobs/p/v7dG4P0lp0MH-Senior-Embedded-System-Engineer-Giza-Egypt?o=120&l=sp&t=sj&a=data science|search-v3|hpb,Senior Embedded System Engineer,"6th of October, Giza, Egypt ",Confidential -,Full Time Experienced · 2 - 6 Yrs of Exp · IT/Software Development · Manufacturing/Production · Engineering - Telecom/Technology · Python · Software Development · Software · Software Engineering · Electronics · Engineering · Design,10 days ago
https://wuzzuf.net//jobs/p/yug0agqBljC2-Quality-Control-Engineer-Alghanim-Agri-Cairo-Egypt?o=121&l=sp&t=sj&a=data science|search-v3|hpb,Quality Control Engineer,"Obour City, Cairo, Egypt ",Alghanim Agri -,Full Time Entry Level · 3 - 5 Yrs of Exp · Manufacturing/Production · Quality · Engineering - Other · Agriculture · Quality Control · QC · Food · Science · Quality Assurance · Engineering,3 days ago
https://wuzzuf.net//jobs/p/AccYU06HCrtV-Senior-iOS-Developer-CST-Systems-Cairo-Egypt?o=122&l=sp&t=sj&a=data science|search-v3|hpb,Senior iOS Developer,"New Cairo, Cairo, Egypt ",CST Systems -,Full Time Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Engineering · Information Technology (IT) · Software Development · iOS · Swift · REST · Apple,3 days ago
https://wuzzuf.net//jobs/p/LEOqN4hNTPWb-IT-section-Head-Al-monairy-Sharqia-Egypt?o=123&l=sp&t=sj&a=data science|search-v3|hpb,IT section Head,"10th of Ramadan City, Sharqia, Egypt ",Al monairy -,Full Time Experienced · 5 - 7 Yrs of Exp · IT/Software Development · IT · Management · Computer Science,3 days ago
https://wuzzuf.net//jobs/p/c6rSUDfasJOj-Senior-UX-Designer-42-Group-Cairo-Egypt?o=124&l=sp&t=sj&a=data science|search-v3|hpb,Senior UX Designer,"Cairo, Egypt ",42 Group -,Full Time Experienced · 5 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · UX Design · UX · Information Technology (IT) · UI · Digital · Design,11 days ago
https://wuzzuf.net//jobs/p/wRVvfQi5T8fe-Senior-IT-Specialist-Giza-Egypt?o=125&l=sp&t=sj&a=data science|search-v3|hpb,Senior IT Specialist,"6th of October, Giza, Egypt ",Confidential -,Full Time Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Operations/Management · Information Technology (IT) · MCSA · MCSE · Software Development · CCNA · Software Engineering · Computer Science,16 days ago
https://wuzzuf.net//jobs/p/dwmi6u7qV1lk-Technical-Office-Engineer-Elattal-Holding-Cairo-Egypt?o=126&l=sp&t=sj&a=data science|search-v3|hpb,Technical Office Engineer,"Sheraton, Cairo, Egypt ",Elattal Holding  -,Full Time Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · Architect · Architecture Engineering · Architecture · Computer Science · Engineering · engineer · technical · Technical Office,15 days ago
https://wuzzuf.net//jobs/p/PXLBqtLAyoT0-React-JS-Developer-Teqneia-Giza-Egypt?o=127&l=sp&t=sj&a=data science|search-v3|hpb,React JS Developer,"Sheikh Zayed, Giza, Egypt ",Teqneia -,Full Time Freelance / ProjectEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Startup · React.JS · Software Development · JavaScript · RESTful APIs · React · Redux · Computer Science · Information Technology (IT),12 days ago
https://wuzzuf.net//jobs/p/TxWz8RfYAF5g-Native-developer-IOS-Masary-Cairo-Egypt?o=128&l=sp&t=sj&a=data science|search-v3|hpb,Native developer (IOS),"Maadi, Cairo, Egypt ",Masary -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Information Technology (IT) · iOS · Objective-C · React Native · Software Development · Swift · Xcode,15 days ago
https://wuzzuf.net//jobs/p/NvI6de72t568-CRM-Solution-Architect-SURE-International-Technology-Cairo-Egypt?o=129&l=sp&t=sj&a=data science|search-v3|hpb,CRM Solution Architect,"Nasr City, Cairo, Egypt ",SURE International Technology -,Full Time Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Computer Science · CRM · Information Technology (IT) · Solution Architecture · Dynamics 365,20 days ago
https://wuzzuf.net//jobs/p/eUMOPlHNbVSz-Android-Developer-Anspire-Agency-Cairo-Egypt?o=130&l=sp&t=sj&a=data science|search-v3|hpb,Android Developer,"New Cairo, Cairo, Egypt ",Anspire Agency -,Full Time Work From HomeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Android · Information Technology (IT) · Mobile Development · Software · Software Development · APIs · Computer Science,16 days ago
https://wuzzuf.net//jobs/p/DvMrAXwlduOV-Information-Security-Analyst-Cairo-Egypt?o=131&l=sp&t=sj&a=data science|search-v3|hpb,Information Security Analyst,"New Cairo, Cairo, Egypt ",Confidential -,Full Time Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Information Systems · Network · Engineering · Computer Science · Computer Engineering · Software · Systems,9 days ago
https://wuzzuf.net//jobs/p/lcCN1h97pg5z-Software-Project-Manager-National-Data-Management-Giza-Egypt?o=132&l=sp&t=sj&a=data science|search-v3|hpb,Software Project Manager,"Hadayek Alahram, Giza, Egypt ",National Data Management -,Full Time Experienced · 5 - 10 Yrs of Exp · males_preferred · IT/Software Development · Computer Science · Project Management · .net core · Angular · Agile · Microsoft SQL Server · Windows Forms · Problem Solving · Design,8 days ago
https://wuzzuf.net//jobs/p/tkWyLF7v6Q68-Senior-Android-Developer-AL-Matar-Cairo-Egypt?o=133&l=sp&t=sj&a=data science|search-v3|hpb,Senior Android Developer,"Maadi, Cairo, Egypt ",AL-Matar -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Android · Information Technology (IT) · Computer Science · Software Development · Software · Software Engineering · Mobile Apps · Android Development · REST,16 days ago
https://wuzzuf.net//jobs/p/75CE1qSBlJvl-Senior-Full-Stack-NET-Developer-Gadtech-eg-Cairo-Egypt?o=134&l=sp&t=sj&a=data science|search-v3|hpb,Senior Full Stack .NET Developer,"Heliopolis, Cairo, Egypt ",Gadtech-eg -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · CSS · HTML · Information Technology (IT) · Software Development · ASP.Net · ASP.NET Core · ASP.Net Web API,9 days ago
https://wuzzuf.net//jobs/p/rTD0K0AINpCC-full-stack-Java-and-angular-leader-DIRAC-SYSTEMS-Cairo-Egypt?o=135&l=sp&t=sj&a=data science|search-v3|hpb,full stack Java and angular leader,"Heliopolis, Cairo, Egypt ",DIRAC SYSTEMS -,Full Time Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Computer Science · Engineering · JavaScript · CSS · HTML · Java · Spring,1 day ago
https://wuzzuf.net//jobs/p/Hb8H2mmfX03s-SharePoint-EPM-RMG-Amman-Jordan?o=136&l=sp&t=sj&a=data science|search-v3|hpb,SharePoint EPM,"Amman, Jordan ",RMG -,Full Time Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · EPM · Installation · Configuration · Security · Reporting · Microsoft Project · Software Development,3 days ago
https://wuzzuf.net//jobs/p/94BaKw9AYVKm-Senior-Mobile-Developer-Flutter-Dimofinf-Operations-Center-Cairo-Egypt?o=137&l=sp&t=sj&a=data science|search-v3|hpb,Senior Mobile Developer (Flutter),"Nasr City, Cairo, Egypt ",Dimofinf Operations Center -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Agile · Engineering · Git · Information Technology (IT) · Mobile Development · Software Development,17 days ago
https://wuzzuf.net//jobs/p/S24GT2EvMCfD-IT-Help-Desk-Specialist---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=138&l=sp&t=sj&a=data science|search-v3|hpb,IT Help Desk Specialist - Alexandria,"San Stefano, Alexandria, Egypt ",Caduceus Lane -,Full Time Experienced · 2 - 4 Yrs of Exp · IT/Software Development · computer · Computer Science · Computer Systems · Configuration · Hardware · English · Help desk · Information Technology (IT) · Installation,4 days ago
https://wuzzuf.net//jobs/p/RyTVNYKpfY9n-IT-Section-Head-Altawakol-for-Steel-Fabrication-Galvanization-Sharqia-Egypt?o=139&l=sp&t=sj&a=data science|search-v3|hpb,IT Section Head,"10th of Ramadan City, Sharqia, Egypt ",Altawakol for Steel Fabrication & Galvanization -,Full Time Experienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering · IT · Computer Science · computer,17 days ago
https://wuzzuf.net//jobs/p/DEBua6zk9iOo-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Lumin-Giza-Egypt?o=140&l=sp&t=sj&a=data science|search-v3|hpb,Senior .NET Full Stack Developer (.NET Core & Angular),"Sheikh Zayed, Giza, Egypt ",Lumin -,Full Time Experienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,4 days ago
https://wuzzuf.net//jobs/p/9kbmFM2nXYgT-Junior-Java-Developer-Wonder-Travel-Cairo-Egypt?o=141&l=sp&t=sj&a=data science|search-v3|hpb,Junior Java Developer,"Maadi, Cairo, Egypt ",Wonder Travel -,Full Time Entry Level · 0 - 3 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · OOP · Java · Software Engineering · Spring · Hibernate,11 days ago
https://wuzzuf.net//jobs/p/KCoALeIKGRjL-Backend-Developer-Twerlo-Cairo-Egypt?o=142&l=sp&t=sj&a=data science|search-v3|hpb,Backend Developer,"Cairo, Egypt ",Twerlo -,Full Time Work From HomeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · APIs · AWS · Computer Science · CSS · Docker · Git · HTML,20 days ago
https://wuzzuf.net//jobs/p/uEKRpDc9UNJl-Security-Engineer-Link-Datacenter-Giza-Egypt?o=143&l=sp&t=sj&a=data science|search-v3|hpb,Security Engineer,"Giza, Egypt ",Link Datacenter -,Full Time Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CEH · Computer Engineering · Computer Science · GCIH · GSEC · Information Security · Information Technology (IT) · Network Operations Center,5 days ago
https://wuzzuf.net//jobs/p/CVOlKIKhPuHJ-Senior-Java-Developer-Bypa-ss-Cairo-Egypt?o=144&l=sp&t=sj&a=data science|search-v3|hpb,Senior Java Developer,"Cairo, Egypt ",Bypa-ss -,Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Java · Software Engineering · Software Development · Java Developer · Computer Science · Spring · Development,12 days ago
https://wuzzuf.net//jobs/p/RY7OKmitEXT0-Senior-Data-Operator-oworkers-Cairo-Egypt?o=145&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Operator,"Cairo, Egypt ",oworkers -,Full Time Work From HomeExperienced · 3 - 5 Yrs of Exp · Administration · IT/Software Development · analytical · English · Information Systems · Information Technology (IT) · Software Development · IT · Data Entry,2 months ago
https://wuzzuf.net//jobs/p/YJQcVPsgRPSE-Sr-Mobile-Developer-React-Native-shop4build-Cairo-Egypt?o=146&l=sp&t=sj&a=data science|search-v3|hpb,Sr. Mobile Developer (React Native),"Maadi, Cairo, Egypt ",shop4build -,Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · React Native · javaScript · iOS · Android · RESTful · Software Development,16 days ago
https://wuzzuf.net//jobs/p/89W0le46Kcmk-Senior-Consultant---Oracle-Database-expert-Efada-Technology-Cairo-Egypt?o=147&l=sp&t=sj&a=data science|search-v3|hpb,Senior Consultant - Oracle (Database expert),"New Cairo, Cairo, Egypt ",Efada Technology -,Full Time Experienced · 6 - 14 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Project Management · Oracle · Telco · IT landscape · datacenter,25 days ago
https://wuzzuf.net//jobs/p/rwq0COIqfKJ6-Front-End-Engineer-AngularIonic-High-Growth-Startup-Remote-Deal-Cairo-Egypt?o=148&l=sp&t=sj&a=data science|search-v3|hpb,Front End Engineer (Angular/Ionic) High Growth Startup Remote,"Cairo, Egypt ",Deal -,Full Time Work From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front End · Information Technology (IT) · Software Engineering · Software Development · HTML · CSS · JS · SASS,16 days ago
https://wuzzuf.net//jobs/p/95DI4xkTa2o3-Dynamics-AX365-FunctionalistTechnical-Specialist-Al-Nasser-Giza-Egypt?o=149&l=sp&t=sj&a=data science|search-v3|hpb,Dynamics AX/365 Functionalist/Technical Specialist,"6th of October, Giza, Egypt ",Al-Nasser  -,Full Time Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Dynamics · ERP · Information Technology (IT) · Dynamics 365 · Computer Science · PowerApps · D365 · Production,9 days ago
https://wuzzuf.net//jobs/p/LObiWai3BCHh-IT-Technical-Specialist-Medicare-Cairo-Egypt?o=150&l=sp&t=sj&a=data science|search-v3|hpb,IT Technical Specialist,"Garden City, Cairo, Egypt ",Medicare -,Full Time Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Systems · Engineering · computer · Systems · Technical Support · Information Technology (IT),19 days ago
https://wuzzuf.net//jobs/p/uhnQE8Jhq29Y-Senior-Backend-Developer-Node-Js-On-site-ZE-LOGIC-Giza-Egypt?o=151&l=sp&t=sj&a=data science|search-v3|hpb,Senior Backend Developer Node Js (On site),"Dokki, Giza, Egypt ",ZE LOGIC -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Agile · APIs · AWS · backend · Computer Science · Git · Information Technology (IT) · Java · Node.js,19 days ago
https://wuzzuf.net//jobs/p/45KkOSl53ldu-Senior-UXUI-Designer-Dimofinf-Operations-Center-Cairo-Egypt?o=152&l=sp&t=sj&a=data science|search-v3|hpb,Senior UX/UI Designer,"Nasr City, Cairo, Egypt ",Dimofinf Operations Center -,Full Time Experienced · 3 - 6 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · front-end · HTML5 · Information Technology (IT) · JavaScript · photoshop,17 days ago
https://wuzzuf.net//jobs/p/pfZKP9IuAqQ8-Senior-Java-Backend-Developer-FlairsTech-Cairo-Egypt?o=153&l=sp&t=sj&a=data science|search-v3|hpb,Senior Java Backend Developer,"Maadi, Cairo, Egypt ",FlairsTech -,Full Time Experienced · 4 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Development · DevOps · Information Technology (IT) · J2EE · Java · Scrum,10 days ago
https://wuzzuf.net//jobs/p/Yr1NNFntZTLu-Technical-Lead-Egabi-FSI-Cairo-Egypt?o=154&l=sp&t=sj&a=data science|search-v3|hpb,Technical Lead,"Sheraton, Cairo, Egypt ",Egabi FSI -,Full Time Manager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Java · OOP · Computer Science · Development · Spring Boot · spring Framework · SOAP,18 days ago
https://wuzzuf.net//jobs/p/Ju6Hfn37qOud-Senior-PHP-Developer-Edentech-Cairo-Egypt?o=155&l=sp&t=sj&a=data science|search-v3|hpb,Senior PHP Developer,"Cairo, Egypt ",Edentech -,Full Time Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP Development · Laravel PHP · Software Development · Angular · CSS · HTML · CSS3 · Git,18 days ago
https://wuzzuf.net//jobs/p/9VruROPaPJgP-ERP-Functional-Support-Dreem-Mashreq-Foods-Alexandria-Egypt?o=156&l=sp&t=sj&a=data science|search-v3|hpb,ERP Functional Support,"Smouha, Alexandria, Egypt ",Dreem Mashreq Foods  -,Full Time Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Computer Science · Customer Support · ERP systems · Information Technology (IT) · ERP · Communication · English · is,11 days ago
https://wuzzuf.net//jobs/p/7CvxWPevpN2B-Senior-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=157&l=sp&t=sj&a=data science|search-v3|hpb,Senior Full Stack Developer,"Nasr City, Cairo, Egypt ",3S Software -,Full Time Experienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · Angular · Computer Science · CSS · .Net · HTML · HTML5,19 days ago
https://wuzzuf.net//jobs/p/2FECG5Gs7iCe-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=158&l=sp&t=sj&a=data science|search-v3|hpb,Full Stack Developer,"Nasr City, Cairo, Egypt ",3S Software -,Full Time Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · MVC · Information Technology (IT) · JavaScript · HTML5 · HTML · API,19 days ago
https://wuzzuf.net//jobs/p/wH0tykSjmt38-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=159&l=sp&t=sj&a=data science|search-v3|hpb,Software Tester,"Maadi, Cairo, Egypt ",Etisalat Egypt -,Full Time Experienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software,16 days ago
https://wuzzuf.net//jobs/p/KgUZrN81WewU-Senior-Software-Tester---Cairo-Etisalat-Egypt-Cairo-Egypt?o=160&l=sp&t=sj&a=data science|search-v3|hpb,Senior Software Tester - Cairo,"Maadi, Cairo, Egypt ",Etisalat Egypt -,Full Time Experienced · 1+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · computer · Science · Software · Information Technology (IT) · test automation · Planning,16 days ago
https://wuzzuf.net//jobs/p/SsygysCYGGDz-IT-Engineer-ABCO-Group-Alexandria-Egypt?o=161&l=sp&t=sj&a=data science|search-v3|hpb,IT Engineer,"Bourj Alarab, Alexandria, Egypt ",ABCO Group  -,Full Time Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Communication · Communication skills · computer · Computer Engineering · Computer Science · Engineering,24 days ago
https://wuzzuf.net//jobs/p/0BJurXRrGFBF-Quality-Control-Engineer---Software-Testing-Caelum-Egypt-Giza-Egypt?o=162&l=sp&t=sj&a=data science|search-v3|hpb,Quality Control Engineer - Software Testing,"Dokki, Giza, Egypt ",Caelum Egypt -,Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Computer Science · English · Information Technology (IT) · QA · Quality Assurance · Software,24 days ago
https://wuzzuf.net//jobs/p/vohc7bFezSdW-Dot-Net-Developer-Outservingplus-Giza-Egypt?o=163&l=sp&t=sj&a=data science|search-v3|hpb,Dot Net Developer,"Haram, Giza, Egypt ",Outservingplus -,Full Time Experienced · 1 - 4 Yrs of Exp · IT/Software Development · ASP · .Net · Computer Science · C# · NET · Software Engineering,17 days ago
https://wuzzuf.net//jobs/p/aVCgoVptQqjs-Senior-Full-Stack-Developer-22005-Ditech-Egypt-Cairo-Egypt?o=164&l=sp&t=sj&a=data science|search-v3|hpb,Senior Full Stack Developer 22005,"Cairo, Egypt ",Ditech Egypt -,Full Time Experienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · ASP.NET · SQL · .NET · MVC · Angular · Computer Science · Information Technology (IT),22 days ago
https://wuzzuf.net//jobs/p/9nHFOzozg6GV-IT-security-infrastructure-engineer-Giza-Egypt?o=165&l=sp&t=sj&a=data science|search-v3|hpb,"IT, security, infrastructure engineer","Smart Village, Giza, Egypt ",Confidential -,Full Time Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Infrastructure · Infrastructure Engineer · Computer Engineering · Engineering · engineer · Computer Science · Information Technology (IT),18 days ago
https://wuzzuf.net//jobs/p/iTdi059coXVs-IT-System-Engineer-Dell-servers---VMware-Efada-Technology-Cairo-Egypt?o=166&l=sp&t=sj&a=data science|search-v3|hpb,IT System Engineer / Dell servers - VMware,"New Cairo, Cairo, Egypt ",Efada Technology -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information technology · Engineering · Technology · Servers · Telecom · Telecommunication · Vmware,26 days ago
https://wuzzuf.net//jobs/p/d5VlLIMNVvhi-Senior-React-Native-Developer-Our-Education-Cairo-Egypt?o=167&l=sp&t=sj&a=data science|search-v3|hpb,Senior React Native Developer,"Nasr City, Cairo, Egypt ",Our Education -,Full Time Experienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · javaScript · React Native · Android · React · Computer Science,23 days ago
https://wuzzuf.net//jobs/p/1T58JOa4ejnU-Software-Engineer-Cairo-Egypt?o=168&l=sp&t=sj&a=data science|search-v3|hpb,Software Engineer,"Cairo, Egypt ",Confidential -,Full Time Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Computer Science · Software Development · Software Engineering · Software,26 days ago
https://wuzzuf.net//jobs/p/ahjgIDVGgCQZ-Mid-Senior-Full-Stack-Net-Developer-ICIS-Cairo-Egypt?o=169&l=sp&t=sj&a=data science|search-v3|hpb,Mid /Senior Full Stack .Net Developer,"New Cairo, Cairo, Egypt ",ICIS -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Information Technology (IT) · Oracle · SQL · MVC · HTML5 · CSS,19 days ago
