link,title,location,company_name,description,post_time
https://wuzzuf.net//jobs/p/znoFH0wwhRvz-Data-Analyst-Othaim-Cairo-Egypt?o=14&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst,"Katameya, Cairo, Egypt ",Othaim -,Full Time Experienced · 3 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT) · Data Analysis · Analyst,1 month ago
https://wuzzuf.net//jobs/p/JSfXsev2gf6X-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=15&l=sp&t=sj&a=data science|search-v3|hpb,Data Scientist Manager,"Shubra, Cairo, Egypt ",Tamweely -,Full Time Manager · 7 - 10 Yrs of Exp · Analyst/Research · Data · Data Analysis · Economics · Mathematics · Statistics · Reporting,6 days ago
https://wuzzuf.net//jobs/p/QqW5vem5OXcs-Senior-Business-Data-Analyst-aliaict-Cairo-Egypt?o=16&l=sp&t=sj&a=data science|search-v3|hpb,Senior Business Data Analyst,"Nasr City, Cairo, Egypt ",aliaict -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Data Science · Information Management · Information technology · Accounting · Computer Science · Configuration,1 month ago
https://wuzzuf.net//jobs/p/3WcwR403QPI7-Big-Data-Business-Analyst-KSA-Ejada-Riyadh-Saudi-Arabia?o=17&l=sp&t=sj&a=data science|search-v3|hpb,Big Data Business Analyst (KSA),"Riyadh, Saudi Arabia ",Ejada  -,Full Time Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Analysis · Data Analysis,2 days ago
https://wuzzuf.net//jobs/p/KkrGYIeIqjue-Data-Entry-Specialist-Micro-Engineering-Cairo-Egypt?o=18&l=sp&t=sj&a=data science|search-v3|hpb,Data Entry Specialist,"Heliopolis, Cairo, Egypt ",Micro Engineering -,Full Time Shift BasedEntry Level · Administration · R&D/Science · Customer Service/Support · Microsoft Office · quality · reports · Skills · computer · Data Entry · students,1 day ago
https://wuzzuf.net//jobs/p/qt7XewWiCFzt-Power-BI-Analyst-Dynamicslink-Cairo-Egypt?o=19&l=sp&t=sj&a=data science|search-v3|hpb,Power BI Analyst,"Nasr City, Cairo, Egypt ",Dynamicslink -,Full Time Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analyzing data · Information Technology (IT) · Power BI · Data · analytical · Computer Science,1 day ago
https://wuzzuf.net//jobs/p/Sz009ps8B5th-Senior-Business-Intelligence-Specialist-Johnson-Controls-Cairo-Egypt?o=20&l=sp&t=sj&a=data science|search-v3|hpb,Senior Business Intelligence Specialist,"Nasr City, Cairo, Egypt ",Johnson Controls -,Full Time Experienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · BI · Business Development · Communication · ETL · SAP · SQL · SSIS · Database SQL Server,5 days ago
https://wuzzuf.net//jobs/p/fWnHC9V0RgdM-Computer-vision-team-lead-Edentech-Giza-Egypt?o=21&l=sp&t=sj&a=data science|search-v3|hpb,Computer vision team lead,"Dokki, Giza, Egypt ",Edentech -,Full Time Manager · 7 - 15 Yrs of Exp · Engineering - Other · Computer Science · Engineering · Image Processing · Data Science · Machine Learning · Convolutional Neural Networks (CNN) · Algorithms · Artificial Intelligence (AI),9 days ago
https://wuzzuf.net//jobs/p/krZ48vdXQVeX-Software-Development-Manager---PHP-Laravel-Cairo-Egypt?o=22&l=sp&t=sj&a=data science|search-v3|hpb,Software Development Manager - PHP Laravel,"Cairo, Egypt ",Confidential -,Full Time Manager · 10 - 20 Yrs of Exp · IT/Software Development · Data Structures · Computer Science · Software Engineering · Software Development · Software · Management · Development · PHP Web Programming · Laravel Framework,3 days ago
https://wuzzuf.net//jobs/p/E7xRsBy9Uj6k-Data-Analyst---1-3-years-exp-Partner-More-Giza-Egypt?o=23&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst - 1-3 years exp.,"6th of October, Giza, Egypt ",Partner & More -,Full Time Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Data · Computer Science · Information Technology (IT),1 month ago
